title,genre,director,country,year,Rate IMDb
Австралия,эпическая   драма,Баз Лурман,Австралия   США   Великобритания,"26 ноября   2008 [1] ,  25 декабря   2008 [2]  и  25 декабря   2008 [3]",6.6
Авиатор,фильм-биография драма,Мартин Скорсезе,США   Япония,2004,7.5
Авиапочта,мелодрама приключения,Ирвин Виллат,США,1925,6.3
"Авива, любовь моя",драматический фильм,Шеми Зархин [d] [1],Израиль,2006,7.2
"Авель, твой брат",психологическая   драма,Януш Насфетер,Польша,1970,7.0
Авраам: Хранитель веры,драма,Джозеф Сарджент,США     Италия     Великобритания,1994,7.0
Аве Цезарь,комедия,Энтони Майкл Холл,США,1994,3.1
Аве Мария,"драма ,  мелодрама",Людмила Ефименко,Украина,1999,7.6
«Аврора»,"драма , мелодрама",Оксана Байрак,Украина,2006,5.9
Автора! Автора!,мелодрама,Артур Хиллер,США,1982,6.2
Авдотья Павловна,"киноповесть ,  драма ,  социальная драма",Александр Муратов,СССР,1966,6.5
Августовские киты,драма,Линдсей Андерсон,США,1987,7.1
Августовская рапсодия,драма,Акира Куросава,Япония,1991,7.2
Авторитет,боевик триллер,Райан Комбс,США,2008,5.0
Александра,драма,Александр Сокуров,Россия,2007,6.8
Александр. Невская битва,исторический фильм боевик,Игорь Калёнов,Россия,2008,4.8
Александр Попов,кинобиография,"Герберт Раппапорт , Виктор Эйсымонт",СССР,1949,7.0
Александр Пархоменко,Киноповесть,Леонид Луков,СССР,1942,7.0
Александр Маленький,"драма ,  военный",Владимир Фокин,СССР   ГДР,1981,6.9
Август. Восьмого,"военный ,  боевик ,  драма",Джаник Файзиев,Россия,2012,5.6
Александр Невский,киноэпопея драма военный исторический,Сергей Эйзенштейн Дмитрий Васильев,СССР,1938,7.5
"Александр и ужасный, кошмарный, нехороший, очень плохой день","комедийный фильм [2] [3] […] ,  детский фильм  и  экранизация",Мигель Артета,США,2014,6.2
Александр Великий,"пеплум ,  байопик",Роберт Россен,США   Испания,1956,5.8
Александр,"биографическая   драма ,  исторический фильм ,  пеплум",Оливер Стоун,Франция   Германия   Великобритания   Италия   США   Нидерланды,2004,5.6
Алекс и Эмма,комедия  /  мелодрама,Роб Райнер,США,2003,5.5
Алеко,фильм-опера,Сергей Сиделёв,СССР,1953,6.6
Алджи-золотоискатель,комедия   мелодрама,Эдвард Уоррен,США,1912,5.7
Алголь. Трагедия силы,фантастика драма,Ханс Веркмайст,Германия,1920,6.3
Алая Роза,комедия,Марчелло Пальеро,Франция,1951,5.0
Алая камелия,криминальная драма,Ёситаро Номура,Япония,1964,6.4
Алая женщина,комедия,Жан Валер,Франция   Италия,1969,5.9
Албанец,драматический фильм [1] [2]  и  романтический фильм,Иоганнес Набер [d] [1] [2] […],Германия   Албания,2010,7.1
Алая буква,Драма,Пён Хёк,Республика Корея,2004,6.4
Алая буква,драма  /  мелодрама,Ролан Жоффе,США,1995,5.3
Алая буква,мелодрама,Вим Вендерс,ФРГ   Испания,1973,5.8
Алая буква,драма,Виктор Шёстрём,США,1926,7.6
Алая буква,драматический фильм,Джозеф В. Смайли Джордж Лоан Такер,США,1911,7.4
Аланис,драматический фильм,Анаи Бернери [d] [1],Аргентина,"21 сентября   2017 ,  22 сентября   2017 ,  2 октября   2017  и  9 сентября   2017",6.2
Алан Партридж: Альфа Отец,комедия,Деклан Лоуни,Великобритания   Франция,2013 [1],6.9
Аламо,Драма исторический фильм военный фильм вестерн,Джон Ли Хэнкок,США,2004,6.0
Аладдин и его волшебная лампа,приключенческий фильм   комедия   семейный фильм   фэнтези,Тим Бёртон,США,1986,6.6
Аладдин,"комедия ,  мюзикл ,  фэнтези ,  приключения ,  мелодрама",Гай Ричи,США,2019,6.9
Аленький цветочек,фильм-сказка  и  экранизация литературного произведения [d],Ирина Поволоцкая,СССР,1977  и  25 августа   1978,6.7
Алёнка из Почитанки,"комедия, мелодрама",Сергей Русаков,Россия,2014,4.2
Алёнка,комедия,Борис Барнет,СССР,1961,7.3
Алавердоба,притча,Георгий Шенгелая,СССР,1962,8.4
Акция,военный фильм,Владимир Шамшурин,СССР,1987,6.3
Акулы,боевик   фильм ужасов   триллер,Боб Мисиоровски,США   Израиль     ЮАР,1999,3.4
Акулосьминог,ужасы фантастика боевик комедия,Деклан О’Брайен,США,2010,3.2
Аллея кошмаров,триллер нуар драма,Гильермо дель Торо,США   Мексика,2021,7.0
Аллея кошмаров,драма фильм нуар,Эдмунд Гулдинг,США,1947,7.7
Аллегро с огнём,военный фильм драма,Владимир Стрелков,СССР,1980,6.8
Аллегро,драма фантастика,Кристоффер Боэ,Дания,2005,6.5
Аллан Куотермейн и потерянный город золота,"приключения ,  боевик ,  комедия",Гэри Нельсон ru en,США,1986,4.5
Алый знак доблести,драма военный фильм,Джон Хьюстон,США,1951,7.1
"Аляска, сэр!","детектив, приключения",Вячеслав Ребров,Россия,1992,5.3
Аляска,драматический фильм,Клаудио Купеллини [d] [1] [2],Италия   Франция,2015,6.7
Алюминиевые человечки,комедия драма,Барри Левинсон,США,1987,6.6
"Альфредо, Альфредо",комедия,Пьетро Джерми,Италия,1972,6.5
Альфонс,комедия,Владимир Златоустовский,Россия,1993,5.3
Альфавиль,антиутопический   неонуар,Жан-Люк Годар,Италия   Франция,1965,7.0
Американец в Париже,"музыкальный фильм 
 
 мелодрама",Винсент Миннелли,США,1951,7.2
Американские граффити,комедийная драма история взросления,Джордж Лукас,США,1973,7.4
Американские горки,"криминальная драма ,  триллер ,  боевик",Джеб Стюарт,США,1997,6.4
Американские бродяги,комедия роуд-муви боевик,Майкл Коверт,США,1996,5.1
Американская трагедия,судебная драма,Лоуренс Шиллер [en],США,,5.4
Американская трагедия,драма,Марийонас Гидрис,СССР,,7.0
Американская трагедия,драматический фильм,Джозеф фон Штернберг,США,1931,6.4
Американская сказка,фэнтези комедия,Дэвид Цукер,США,2008,4.0
Американский огурчик,кинокомедия,Брэндон Трост [en],США,2020,5.7
Амитивилль 2: Одержимость,ужасы  /  триллер,Дамиано Дамиани,США /   Мексика,1982,5.6
Амистад,историческая   драма,Стивен Спилберг [2] [3] […],США,1997,7.3
Аминь,Драма,Коста-Гаврас,Франция   Германия   Румыния,2002,7.2
Америкэн бой,детективный фильм   боевик триллер,Борис Квашнёв,Украина,1992,5.8
Американцы,драма,Джеймс Фоули,США,1992,7.7
Американское чтиво,драматический фильм,Корд Джефферсон [d],США,8 сентября   2023  и  3 ноября   2023,4.9
Американское сердце,драма,Мартин Белл,США,1992,6.7
Амитивилль 4: Зло спасается,ужасы  /  триллер,Сэндэр Стерн,США,1989,4.4
Амитивилль 3-D,ужасы  /  триллер,Ричард Флейшер,США   Мексика,1983,4.2
Американское преступление,"драма ,  детектив",Томми О’Хейвер,США,,7.2
Американское безумие,драматический фильм,Фрэнк Капра,США,1932,7.4
Американский солдат,драма,Райнер Вернер Фасбиндер,ФРГ,1970,6.5
Американский самурай,боевик,Сэм Ферстенберг,США,1992,4.9
Американский психопат 2,"Чёрная комедия [1] ,  слэшер [2] [3]",Морган Дж. Фриман,США,2002,3.7
Американский психопат,криминал чёрная комедия триллер [1],Мэри Хэррон,США   Канада,2000,7.6
Американский президент,комедия драма,Роб Райнер,США,1995 [2],6.8
Американский пирог: Свадьба,кинокомедия,Джесси Дилан,США,2003,6.3
Американский пирог представляет: Книга любви,комедия,Джон Путч,"США ,    Канада",2009,4.7
Американский пирог представляет: Переполох в общаге,кинокомедия,Эндрю Уоллер,США     Канада,2007,5.3
Американский пирог представляет: Голая миля,кинокомедия,Джо Нуссбаум,США     Канада,2006,5.1
Американский пирог: Все в сборе,комедия,Хейден Шлоссберг Джон Харвитц,США,2012,6.7
Американский пирог представляет: Музыкальный лагерь,комедия,Стив Рэш,США,2005,5.0
Американский пирог 2,Комедия,Джеймс Роджерс,США,2001,6.4
Американский пирог,комедия,Пол Вайц Крис Вайц,США,1999,7.0
Американский оборотень в Париже,комедийный фильм ужасов,Энтони Уоллер ru en,США [4]   Великобритания   Франция [4]   Нидерланды [4]   Люксембург [4],1997,5.1
Американский оборотень в Лондоне,комедийный фильм ужасов,Джон Лэндис,США [4]   Великобритания [4],1981,7.5
Американский ниндзя 5,боевик,Бобби Джин Леонард,США,1993,3.0
Американский ниндзя 4: Разрушение,боевик,Седрик Сандстром,США,1991,3.9
Американский ниндзя 3: Кровавая охота,боевик,Седрик Сандстром,США,1989,3.7
Амитивилль 1992: Вопрос времени,фильм ужасов,Тони Рэндл,США,1992,4.7
Ампир,Триллер,Александр Сокуров,СССР,1986,6.3
Аморальный мистер Тис,комедия,Расс Мейер,США,1959,4.6
Аморальный,комедия,Пьетро Джерми,Италия Франция,1967,6.7
Аморальные истории,драма   мелодрама эротика,Валериан Боровчик,Франция,1974,5.6
Аморальное поведение,"драма ,  триллер",Джордж Т. Миллер,Австралия,1993,5.3
Анастасия Слуцкая,Историческая драма,Юрий Елхов,Белоруссия,2003,5.5
Анастасия,документальное кино,Виктор Лисакович,Россия,2008,
Анастасия,мелодрама,Анатоль Литвак,США,1956,7.0
Анатомия падения,драма,Жюстин Трие,Франция,2023,7.9
Анатомия любви 2,драматический фильм,Говинд Менон,Индия,2003,4.1
Анатомия любви,Романтическая драма,Шана Фест,США,2014,6.2
Анатомия любви,мелодрама,Роман Залуский,ПНР,1972,6.3
Анатомия Грея,драма,Стивен Содерберг,США,1996,6.8
Ангел с ружьём,драматический фильм,Дамиано Дамиани [1] [2],Италия,1992,6.0
Ангел Русской церкви против отца всех народов,Документальное кино,Валерий Залотуха,Россия,2005,
Ангел правого плеча,комедийная драма,Джамшед Усмонов [2],Таджикистан   Италия   Франция,24 мая   2002 [1],6.7
Ангелы с грязными лицами,гангстерская   драма,Майкл Кёртис,США,"1938 ,  26 ноября   1938 [1]  и  7 мая   1965 [1]",7.9
Ангелы революции,романтическая драма,Алексей Федорченко,Россия,2014,6.6
Ангелы падают,триллер  /  драма  /  мелодрама,Ральф Хемекер,США,,5.7
Ангелы и насекомые,драма,Филип Хаас     (англ.)  ( рус.,США   Великобритания,1995,6.8
Ангелы и демоны,"приключения ,  триллер",Рон Ховард,США,2009,6.7
Андин. Хроники армянских путешествий,"документальный, исторический",Рубен Гини,Армения     Китай     Индия     Кыргызстан     Великобритания       Мексика     Россия     Франция       Испания,2014,8.9
"Анджело, моя любовь",драма,Роберт Дюваль,США,1983,6.5
Анджело,Драма,Михаил Нароков,РСФСР,1920,
Анита О’Дэй: Жизнь джазовой певицы,документальный,"Робби Каволина 
 Иэн Маккрадден",США,2007,7.9
Анискин и Фантомас,детективный фильм   комедия,Михаил Жаров Виталий Иванов   Владимир Рапопорт,СССР,,6.4
Анима мунди,документальный фильм,Годфри Реджио,США,1992,7.5
Анжель,драматический фильм  и  экранизация литературного произведения [d],Марсель Паньоль,Франция,1934,7.3
"Анжелика, маркиза ангелов",мелодрама приключения,Ариель Зейтун,Франция,2013,6.1
«Анна Каренина. История Вронского»,драма,Карен Шахназаров,Россия,2017,6.3
Анна Каренина,историческая   романтическая драма,Джо Райт,Великобритания   США,2012,6.6
Анна Каренина,драма,Сергей Соловьёв,Россия,2009,6.1
Антебеллум,психологический триллер,Джерард Буш   Кристофер Ренц,США,2020,8.4
Антарктическая повесть,"драма ,  приключения",Сергей Тарасов,СССР,1979,7.0
Антарктическая история,приключенческий фильм [1]  и  драматический фильм,Корэёси Курахара [1] [2],Япония,1983,7.6
Ансамбль,комедия драма мюзикл,Ави Нешер,Израиль,1978,7.3
Антимоз Ивериели,Исторический,Гиули Чохонелидзе,Грузия,2001,8.4
Антикиллер Д.К.,Боевик    Детектив,Эльдар Салаватов,Россия,2009,5.8
Антикиллер 2: Антитеррор,Боевик,Егор Михалков-Кончаловский,Россия,2003,5.1
Антрацит,"социальная драма,  производственный фильм",Александр Сурин,СССР,1971,5.7
Антракт,фэнтезийный фильм  и  немое кино,Рене Клер,Франция,1924,7.3
Антошу корсет погубил,комедия,Эдвард Пухальский,Российская империя,1916,5.4
Антоша Рыбкин,военный фильм комедия,Константин Юдин,СССР,1942,5.8
Антония: Портрет женщины,документальный,"Джуди Коллинз 
 Джилл Годмилоу [en]",США,1974,6.9
Антураж,комедия драма,Даг Эллин,США,2015,6.5
Антуан и Антуанетта,комедия,Жак Беккер,Франция,1947,7.4
Антропофаг,фильм ужасов,Джо Д'Амато,Италия,1980,5.3
Антропоид,военная драма,Шон Эллис     (англ.)  ( рус.,Чехия     Великобритания     Франция,2016,7.2
Антония,"драма ,  комедия",Марлен Горрис,Нидерланды   Бельгия   Великобритания [3],1995,7.4
«Антоний и Клеопатра»,мелодрама,Чарлтон Хестон,Великобритания,1972,5.8
Антоний и Клеопатра,"короткометражный ,  драма",Чарльз Кент,США,1908,3.5
"Антон Шпелец, снайпер",комедия,Мартин Фрич,Чехословакия,1932,7.2
Антон Чехов,"драма ,  биография ,  исторический",Рене Фере,Франция,2015,6.3
Антон тут рядом,документальное кино,Любовь Аркус,Россия,2012,7.6
Антон Иванович сердится,комедия,Александр Ивановский,СССР,1941,7.0
Антихрист,драма ужасы,Ларс фон Триер,Франция   Германия   Италия   Швеция   Дания   Польша [4],"18 мая   2009 ,  18 ноября   2010 [2]  и  10 сентября   2009 [3]",6.5
Антифауст,"мистика, драма",Георг Фризен,Россия   Германия,1993 [1],6.1
Антитела,"триллер ,  ужасы ,  драма",Кристиан Альварт,Германия,2005,6.9
Антисекс,драма,Ренато Кастеллани   Марко Феррери   Франко Росси,Италия     Франция,1964,6.5
Антикиллер,боевик,Егор Кончаловский,Россия,2002,5.5
Антидурь,комедия   боевик,Владимир Щегольков,Россия,2007,3.3
Антивирус,"фильм ужасов [3] [4] ,  антиутопический фильм ,  научно-фантастический фильм  и  биопанк",Брэндон Кроненберг,"Канада 
 
   Франция",2012,5.7
Антенна,"фэнтезийный фильм [2] [3] ,  научно-фантастический фильм  и  драматический фильм",Эстебан Сапир [d] [2] [3] […],Аргентина,"24 января   2007 [1] ,  2006  и  19 апреля   2007 [1]",7.3
Анонимные романтики,романтическая комедия,Жан-Пьер Амери,"Франция ,    Бельгия",2010,6.9
Аноним,фильм-биография,Роланд Эммерих,Германия     Великобритания     США,2011,6.8
Анон,"антиутопический фильм ,  научно-фантастический фильм [1] ,  кинофантастика ,  фильм-триллер [1]  и  киберпанк",Эндрю Никкол,Великобритания,2018,6.1
Анфиса,драма,Яков Протазанов,Российская империя,1912,6.0
Аннычка,"драма ,  военный",Борис Ивченко,СССР,1968,7.6
Аннушка,драма,Борис Барнет,СССР,1959,6.2
Аполлон-13,приключения история драма,Рон Ховард,США,1995,7.7
Аполлон-10½: Приключение космического века,"история взросления [d] ,  научно-фантастический фильм ,  драматический фильм  и  подростковый фильм",Ричард Линклейтер,США,2022  и  1 апреля   2022 [1],7.2
Аполлон 18,псевдодокументальный   научно-фантастический   фильм ужасов,Гонсало Лопес-Гальего,США   Канада,2011,5.2
Апокриф: музыка для Петра и Павла,драма фильм-биография,Адель Аль-Хадад,Россия,2004,5.3
Апокриф,драма   короткометражный,Андрей Звягинцев,США,2009,6.5
Арабеска,Триллер,Стэнли Донен,США,1966,6.4
Арабелла — дочь пирата,сказка,Пеэтер Симм,СССР,1983,6.8
Арена смелых,музыкально-цирковое представление документальный фильм фильм-концерт,Сергей Гуров Юрий Озеров,СССР,1953,5.0
Арена неистовых,драма исторический фильм,Михаил Чиаурели,СССР,1986,8.1
Арена,драма,Эдуард Бордуков,Россия,2012,6.8
Арена,боевик триллер,Джона Луп,США,2011,4.7
Арена,фантастика,Питер Манугиан,США   Италия,1989,5.3
Арли: второй Париж,Документальное кино,Идриссу Моракпай,"Нигер ,  Бенин",2007,7.9
Арлетт,мелодрама комедия криминальный фильм,Клод Зиди,Франция,1997,5.2
Арлезианка,драма,Альбер Капеллани,Франция,1908,6.4
Армянская рапсодия,документальный,Гарри Кананян Сезар Кананян,Бразилия,2012,7.3
Армия Франкенштейна,ужасы,Ричард Рапхорст,США   Нидерланды   Чехия,2013,5.4
Армия тьмы,комедийный фильм ужасов,Сэм Рэйми,США,1992,7.4
Армия теней,драма военный фильм,Жан-Пьер Мельвиль,Франция   Италия,1969,8.1
Армия семерых бойцов,боевик военная драма,Чжан Чэ Сюн Тинъу  (сорежиссёр) У Ма [en]   (сорежиссёр),Гонконг,1976,6.2
Артур и месть Урдалака,мультфильм фэнтези приключение семейный,Люк Бессон,Франция   США,2009,5.2
Артур и война двух миров,мультфильм фэнтези приключение семейный,Люк Бессон,Франция,2010,5.5
Артур 2: На мели,комедия,Бад Йоркин [d] [1] [2],США,1988,4.6
Ассистентка,психологическая драма,Дени Деркур,Франция,2006,7.0
Асса,драма [1],Сергей Соловьёв,СССР,1987,7.7
Асоциальная сеть,триллер,Тиллер Расселл,США,2020,6.0
"Асиф, Васиф, Агасиф",детский фильм,Расим Исмайлов,СССР,1983,8.1
Атака лёгкой кавалерии,драматический фильм,Джеймс Сирл-Доули,США,1912,6.2
Атака куриных зомби,"комедия ,  хоррор ,  мюзикл",Ллойд Кауфман,США,2006,6.0
Атака крабов-монстров,ужасы,Роджер Корман,США,1956,4.9
Атаман Кодр,драма киноповесть,Михаил Калик Борис Рыцарев Ольга Улицкая,СССР,1958,6.1
Аталанта,мелодрама,Жан Виго,Франция,1934,7.7
Атакующая группа «Зет»,боевик,Тим Бёрсталл [en],Австралия,1982,5.4
Атаки 26/11,триллер докудрама криминальный исторический,Рам Гопал Варма [1],Индия,2013,6.9
Атака титанов,фантастика драма,Синдзи Хигути,Япония,2015,5.0
Атака пауков,ужасы чёрная комедия,Эллори Элкайем,США   Австралия   Германия,2002  и  15 августа   2002 [1],5.5
Атака на Пёрл-Харбор,"военный ,  драма ,  биография",Идзуру Нарусима,Япония,2011,6.7
Атака мертвецов: Осовец,военный,Василий Чигинский,Россия   Белоруссия,2018,7.8
Атака лёгкой кавалерии,"исторический фильм ,  военный фильм [1]  и  драматический фильм",Тони Ричардсон,Великобритания,1968,6.6
Атака лёгкой кавалерии,мелодрама,Майкл Кёртис,США,1936,7.0
Атака Коммандос,боевик [1]  и  военный фильм,Бруно Маттеи,Италия,1987,5.2
Атака Годзиллы,приключения детектив фантастика семейный,Исиро Хонда,Япония,1969,3.9
Атака,кинодрама,Игорь Николаев,СССР,1986,6.2
Ася,мелодрама,Иосиф Хейфиц,СССР   ГДР,1977,6.7
Асы в небе,драма,Джек Голд,Великобритания     Франция,1976,6.5
Асфальтовые джунгли,нуарный   фильм-ограбление,Джон Хьюстон,США,1950,7.8
Асфальт,драматический фильм  и  немое кино,Джоэ Май,Германия,1929,7.4
Астролог,романтика драма фантастика,Крейг Денни,США,1976,4.8
Астрал: Новое измерение,ужасы,Крис Мул,Великобритания,2018,4.7
Астрал: Глава 2,фильм ужасов,Джеймс Ван,США,2013,6.5
Аткинс,"Вестерн ,  Драма",Helge Trimpert,ГДР   Румыния,1985,6.2
Астрал 5: Красная дверь,фильм ужасов,Патрик Уилсон,США,2023,8.6
Астрал 4: Последний ключ,фильм ужасов,Гарри Робител,Великобритания,2018,5.7
Астрал 3,фильм ужасов,Ли Уоннелл,США,2015,6.1
Астрал,фильм ужасов мистика [1],Джеймс Ван,США   Канада,13 сентября   2010 [3],6.8
Атомная школа 2,"научная фантастика ,  комедия ,  хоррор",Эрик Лузил,США,1991,4.4
Атомная школа,"фантастика ,  хоррор","Ричард Хайнс , Майкл Херц , Ллойд Кауфман",США,1986,5.6
Атомная подводная лодка,научная фантастика,Спенсер Гордон Беннет,США,1959,5.2
Атрагон: Летающая суперсубмарина,приключения токусацу драма,Исиро Хонда,Япония,1963,5.8
Атомный Человек против Супермена,фантастика,Спенсер Гордон Беннет,США [2],1950,6.7
Атомный поезд,фильм-катастрофа боевик драма триллер,Дэвид Джексон Дик Лоури,США [1],,4.7
Атомный Иван,мелодрама комедия,Василий Бархатов,Россия,2012,5.3
Атомные кинематографисты: За кадром,документальный   научно-популярный фильм [1],Питер Куран,США,1999,7.7
Афганские рыцари,мистический триллер,Аллан Хэромон,Канада     США,2007,2.9
Афганец,драма,Владимир Мазур,СССР,1991,5.8
Афганская война,военный фильм документальный фильм,"Алексей Крол, Татьяна Крол",Россия,2010 (премьера),
Аферист,драма   криминальный фильм   исторический фильм,Джеймс Дирден,Великобритания,1999,6.4
