title,genre,director,country,year,Rate IMDb
2012,научно-фантастический   фильм-катастрофа,Роланд Эммерих,США,2009,5.8
2009: Утраченные воспоминания,Фантастика Боевик Триллер Альтернативная история,Ли Щи-мён,Южная Корея   Япония,2002,6.1
Аафат,криминальный триллер [d],Атма Рам [d],Индия,1977,5.3
«А чой-то ты во фраке?»,комедия  /  мюзикл,Иосиф Райхельгауз,Россия,1993,6.6
А у нас была тишина...,военная драма,Владимир Шамшурин,СССР,1977,5.9
А у вас который час?,драма,Цай Минлян,Китайская Республика,2001,7.3
"А теперь, дамы и господа",криминальный фильм драма мелодрама триллер,Клод Лелуш,Франция   Великобритания,2002,6.1
Монти Пайтон: а теперь нечто совсем другое,комедия,Иан Макнафтон,Великобритания,1971,7.5
А теперь не смотри,мистический триллер,Николас Роуг,Великобритания   Италия,1973,7.1
А счастье рядом,мелодрама,Маргарита Касымова,СССР     Таджикская ССР,1978,4.4
Авария,триллер,Джонатан Мостоу,США,1997,7.0
Авария,детектив,Джеймс Аллен,ЮАР   США   Заир,1990,3.5
Авария (Несчастный случай),боевик,Серджиу Николаеску,Румыния,1976,6.6
Авария,детектив драма,Витаутас Жалакявичюс,СССР,1974,6.8
Авария,Детектив,Александр Абрамов Наум Бирман,СССР,1965,6.5
Авария — дочь мента,драма,Михаил Туманишвили,СССР,1989,6.6
Аварийный выход,комедия,Роман Залуски,Польша,1982,6.7
Авантюристы,приключения,Константин Буслов,Россия,2014,4.1
Автор,драма   комедия,Мануэль Мартин Куенка,Испания     Мексика,2017,6.5
Автопробег «Париж — Нью-Йорк»,фантастика,Жорж Мельес,Франция   Нью-Йорк (съёмки)   Германия (съёмки) Сибирь  (съёмки),1908,5.5
Автомобильные воры,драма,Дж. Стюарт Блэктон,США,1906 [1] [2],7.7
"Автомобиль, скрипка и собака Клякса",комедия   музыкальный фильм   сказка,Ролан Быков,СССР,1974,6.7
Автомобиль на крыше,"исторический, комедия, драма, экранизация",Дмитрий Кесаянц,СССР,1980,3.8
Автомобиль,"фильм ужасов ,  фильм-тайна  и  фильм-триллер",Эллиот Силверштейн [d],США,"13 мая   1977 [1] ,  13 августа   1977 [1] ,  15 сентября   1977 [1] ,  28 сентября   1977 [1] ,  10 октября   1977 [1] ,  10 ноября   1977 [1] ,  23 ноября   1977 [1] ,  22 декабря   1977 [1] ,  23 декабря   1977 [1] ,  19 января   1978 [1] ,  2 июня   1978 [1] ,  22 июня   1978 [1] ,  4 мая   1979 [1]  и  февраль  1980 [1]",6.1
"Автомобили, которые съели Париж",фильм ужасов  /  комедия,Питер Уир,Австралия,1974,5.6
Автомат,документальный фильм,Лиза Гурвиц,США,2021,7.8
Автокатастрофа,"драма ,  триллер",Дэвид Кроненберг,Канада [3] [4] […]   Великобритания [3],"17 мая   1996 [1] ,  4 октября   1996 [1] ,  31 октября   1996 [2]  и  1996",6.4
Автобусная остановка,комедийная   драма,Джошуа Логан,США,1956,6.3
Автобус отходит в 6.20,"драма ,  соцреализм",Ян Рыбковский,Польша,1954,5.4
Автобан,боевик,Эрен Криви [en],Германия   США   Великобритания,2016,5.7
Австрийское поле,драма,Андрей Черных,СССР,1991,6.8
Австрийка,драма исторический фильм,Пьер Гранье-Дефер,Франция,1989,6.0
Автобус,комедия,Арне Скуэн,Норвегия,1961,6.9
Австралия,эпическая   драма,Баз Лурман,Австралия   США   Великобритания,"26 ноября   2008 [1] ,  25 декабря   2008 [2]  и  25 декабря   2008 [3]",6.6
«Аврора»,"драма , мелодрама",Оксана Байрак,Украина,2006,5.9
Авраам: Хранитель веры,драма,Джозеф Сарджент,США     Италия     Великобритания,1994,7.0
Авиценна,"Биографический фильм ,  исторический фильм",Камиль Ярматов,СССР,1956,6.6
"Авель, твой брат",психологическая   драма,Януш Насфетер,Польша,1970,7.0
"Авива, любовь моя",драматический фильм,Шеми Зархин [d] [1],Израиль,2006,7.2
Авиатор,фильм-биография драма,Мартин Скорсезе,США   Япония,2004,7.5
Авиапочта,мелодрама приключения,Ирвин Виллат,США,1925,6.3
Автора! Автора!,мелодрама,Артур Хиллер,США,1982,6.2
Аве Цезарь,комедия,Энтони Майкл Холл,США,1994,3.1
Аве Мария,"драма ,  мелодрама",Людмила Ефименко,Украина,1999,7.6
Авдотья Павловна,"киноповесть ,  драма ,  социальная драма",Александр Муратов,СССР,1966,6.5
Августовские киты,драма,Линдсей Андерсон,США,1987,7.1
Августовская рапсодия,драма,Акира Куросава,Япония,1991,7.2
Агент по имени Далила,триллер,Ричард Франклин,США,1992,4.8
Август. Восьмого,"военный ,  боевик ,  драма",Джаник Файзиев,Россия,2012,5.6
Ад в заливе Фриско,Фильм нуар,Фрэнк Таттл,США,1956,6.4
Ад,"криминальная   драма ,  чёрный юмор",Луис Эстрада,Мексика,2010,7.7
Ад,драма,Клод Шаброль,Франция,1994,7.0
Ад,немое кино  и  драматический фильм,Джузеппе де Лигуоро [d] Адольфо Падован [d] Франческо Бертолини [d],Италия,1911,7.0
Агрессивные дамочки / Нападения 5-футовых женщин,комедия пародия,Джули Браун Ричард Уэнк,США,1994,4.4
Агора,биография драма   приключения   история   пеплум [1],Алехандро Аменабар,Испания       Мальта       Португалия       Франция       США,2009,7.1
Агония,"исторический фильм ,  драма",Элем Климов,СССР,1981,7.0
Адская поездка,"боевик ,  триллер ,  приключения",Ларри Бишоп,США,2008,5.0
Адская ночь,"ужасы 
 триллер",Том Де Саймон [en],США,1981,5.6
Адская месть-2. Кровавые крылья,фильм ужасов,Джефф Барр,США,1994,4.6
Адская кухня,криминальная   драма боевик,Андреа Берлофф,США,2019,5.6
Адская кухня,"криминал ,  драма",Тони Чинчирипини,США,1998,4.6
Адская кухня,драма,Сильвестр Сталлоне,США,1978,5.7
Агнец,драма фолк-хоррор,Вальдимар Йоханнссон,Исландия [4]   Швеция [5]   Польша [5],2021,6.3
Адская жёнушка,комедия,Джеймс Лейн Дональд Джонс,США,1993,2.7
Аида,фильм - опера музыкальный фильм драма мелодрама,Клементе Фракасси,Италия,1953,5.2
Академик из Аскании,биографический фильм,Владимир Герасимов,СССР,1961,5.3
Академик Иван Павлов,биографическая   драма,Григорий Рошаль,СССР,1949,6.1
Айя,"мелодрама, экранизация",Варис Брасла,СССР,1987,6.9
Айша,романтическая комедия,Раджшри Оджха [d] [1],Индия,2010,5.1
Айта,"драма ,  триллер",Степан Бурнашёв,Россия,2022,
Айседора,драма,Карел Рейш,Великобритания,1968,6.9
Айсберг,"фильм-катастрофа ,  боевик ,  приключенческий фильм",Шейн Ван Дайк,США,2010,1.6
Алавердоба,притча,Георгий Шенгелая,СССР,1962,8.4
Акция,военный фильм,Владимир Шамшурин,СССР,1987,6.3
Акулы,боевик   фильм ужасов   триллер,Боб Мисиоровски,США   Израиль     ЮАР,1999,3.4
Акулосьминог,ужасы фантастика боевик комедия,Деклан О’Брайен,США,2010,3.2
Акулий торнадо 5: Глобальное роение,комедийный научно-фантастический фильм ужасов фильм-катастрофа,Энтони Ферранте,США,2017,3.9
Акулий торнадо 4: Пробуждение,комедийный   научно-фантастический   фильм ужасов ;  фильм-катастрофа,Энтони Ферранте,США,2016,3.9
Акулий торнадо 3,комедийный   научно-фантастический   фильм ужасов ;  фильм-катастрофа,Энтони Ферранте,США,2015,4.0
Аладдин,"комедия ,  мюзикл ,  фэнтези ,  приключения ,  мелодрама",Гай Ричи,США,2019,6.9
Александра,драма,Александр Сокуров,Россия,2007,6.8
Александр. Невская битва,исторический фильм боевик,Игорь Калёнов,Россия,2008,4.8
Александр Попов,кинобиография,"Герберт Раппапорт , Виктор Эйсымонт",СССР,1949,7.0
Александр Пархоменко,Киноповесть,Леонид Луков,СССР,1942,7.0
Александр Маленький,"драма ,  военный",Владимир Фокин,СССР   ГДР,1981,6.9
"Александр и ужасный, кошмарный, нехороший, очень плохой день","комедийный фильм [2] [3] […] ,  детский фильм  и  экранизация",Мигель Артета,США,2014,6.2
Александр Невский,киноэпопея драма военный исторический,Сергей Эйзенштейн Дмитрий Васильев,СССР,1938,7.5
Александр Великий,"пеплум ,  байопик",Роберт Россен,США   Испания,1956,5.8
Александр,"биографическая   драма ,  исторический фильм ,  пеплум",Оливер Стоун,Франция   Германия   Великобритания   Италия   США   Нидерланды,2004,5.6
Алекс и Эмма,комедия  /  мелодрама,Роб Райнер,США,2003,5.5
Алеко,фильм-опера,Сергей Сиделёв,СССР,1953,6.6
Алджи-золотоискатель,комедия   мелодрама,Эдвард Уоррен,США,1912,5.7
Алголь. Трагедия силы,фантастика драма,Ханс Веркмайст,Германия,1920,6.3
Албанец,драматический фильм [1] [2]  и  романтический фильм,Иоганнес Набер [d] [1] [2] […],Германия   Албания,2010,7.1
Алая роза,"Криминальная   драма ,  нуар",Умэцугу Иноуэ,Япония,1963,
Алая Роза,комедия,Марчелло Пальеро,Франция,1951,5.0
Алая камелия,криминальная драма,Ёситаро Номура,Япония,1964,6.4
Алая женщина,комедия,Жан Валер,Франция   Италия,1969,5.9
Алая буква,Драма,Пён Хёк,Республика Корея,2004,6.4
Алая буква,драма  /  мелодрама,Ролан Жоффе,США,1995,5.3
Алая буква,мелодрама,Вим Вендерс,ФРГ   Испания,1973,5.8
Алая буква,драма,Виктор Шёстрём,США,1926,7.6
Алая буква,драматический фильм,Джозеф В. Смайли Джордж Лоан Такер,США,1911,7.4
Аленький цветочек,фильм-сказка  и  экранизация литературного произведения [d],Ирина Поволоцкая,СССР,1977  и  25 августа   1978,6.7
Алёнка из Почитанки,"комедия, мелодрама",Сергей Русаков,Россия,2014,4.2
Алёнка,комедия,Борис Барнет,СССР,1961,7.3
Алексеич,"новелла, киноповесть, экранизация",Людмила Салдадзе,,1970,
Аланис,драматический фильм,Анаи Бернери [d] [1],Аргентина,"21 сентября   2017 ,  22 сентября   2017 ,  2 октября   2017  и  9 сентября   2017",6.2
Алан Партридж: Альфа Отец,комедия,Деклан Лоуни,Великобритания   Франция,2013 [1],6.9
Алиби,детектив,Лесли Хискотт,Великобритания,1931,7.3
Алиби,криминальный фильм,Роланд Уэст,США,1929,5.7
Алитет уходит в горы,драма,Марк Донской,СССР,1949,6.3
Алита: Боевой ангел,"антиутопия ,  боевик ,  киберпанк",Роберт Родригес,США [2],2019,7.3
"Алиса, или Последний побег",драма фэнтези триллер,Клод Шаброль,Франция,1977,6.7
Алиса на море,кинокомедия,Уолт Дисней,США,1924,5.4
Алиса и укус пчелы,кинокомедия,Уолт Дисней,США,1925,4.9
Алиса и Букинист,мелодрама   приключения,Алексей Рудаков,Россия,1992,4.3
Алмаз Брахмы,драматический фильм,Дэвид Уорк Гриффит,США,1909,4.4
Альба Регия,"драма , мелодрама,  военный",Михай Семеш [hu],Венгрия,1961,6.1
Аль-Кадисия,историческая драма,Салах Абу Сейф,Египет  Ирак,1981,6.0
Аль Капоне,гангстерский фильм фильм-биография,Ричард Уилсон,США,1959,6.7
Алый час,Фильм нуар,Майкл Кёртис,США,1956,6.9
Алый первоцвет,"драматический фильм ,  экранизация романа [d]  и  фильм плаща и шпаги",Клайв Доннер [d],Великобритания,1982,7.6
Алый первоцвет,приключенческий фильм фильм плаща и шпаги,Харольд  Янг,Великобритания,1934,7.3
Альфа дог,драма   криминальный фильм   фильм-биография,Ник Кассаветис,США,2006,6.9
Альфа,исторический боевик триллер,Альберт Хьюз,США,2018,6.6
Амбивалентность,триллер драма,Антон Бильжо,Россия,2019,5.8
Амаркорд,комедия драма,Федерико Феллини,Италия  —  Франция,1973,7.8
"Амар, Акбар, Антони","комедия ,",Манмохан Десаи [en],Индия,1977,7.4
«Аманда ночью»,"порнофильм, криминальная драма, триллер [1]",Гэри Грейвер,США,1981,6.2
Аманда и инопланетянин,фантастика комедия,Джон Кролл,США,,4.7
Аманда,драматический фильм [2],Каролина Кавалли [d],Италия,5 сентября   2022  и  13 октября   2022,
Американка,"драма ,  трагикомедия",Дмитрий Месхиев,Россия,1997,6.9
Американизируй меня,драма,Эдвард Джеймс Олмос,США,1992,7.1
Американские граффити,комедийная драма история взросления,Джордж Лукас,США,1973,7.4
Американские горки,"криминальная драма ,  триллер ,  боевик",Джеб Стюарт,США,1997,6.4
Американские бродяги,комедия роуд-муви боевик,Майкл Коверт,США,1996,5.1
Американская трагедия,судебная драма,Лоуренс Шиллер [en],США,,5.4
Американская трагедия,драма,Марийонас Гидрис,СССР,,7.0
Американская трагедия,драматический фильм,Джозеф фон Штернберг,США,1931,6.4
Американский огурчик,кинокомедия,Брэндон Трост [en],США,2020,5.7
Американский оборотень в Париже,комедийный фильм ужасов,Энтони Уоллер ru en,США [4]   Великобритания   Франция [4]   Нидерланды [4]   Люксембург [4],1997,5.1
Американский пирог представляет: Правила для девочек,комедия,Майк Эллиот,США,2020,
Американский пирог представляет: Книга любви,комедия,Джон Путч,"США ,    Канада",2009,4.7
Американский пирог представляет: Переполох в общаге,кинокомедия,Эндрю Уоллер,США     Канада,2007,5.3
Американский пирог представляет: Голая миля,кинокомедия,Джо Нуссбаум,США     Канада,2006,5.1
Американский пирог представляет: Музыкальный лагерь,комедия,Стив Рэш,США,2005,5.0
Американский пирог 2,Комедия,Джеймс Роджерс,США,2001,6.4
Амитивилль 4: Зло спасается,ужасы  /  триллер,Сэндэр Стерн,США,1989,4.4
Амитивилль 3-D,ужасы  /  триллер,Ричард Флейшер,США   Мексика,1983,4.2
Амитивилль 2: Одержимость,ужасы  /  триллер,Дамиано Дамиани,США /   Мексика,1982,5.6
Амистад,историческая   драма,Стивен Спилберг [2] [3] […],США,1997,7.3
Аминь,Драма,Коста-Гаврас,Франция   Германия   Румыния,2002,7.2
Америкэн бой,детективный фильм   боевик триллер,Борис Квашнёв,Украина,1992,5.8
Американцы,драма,Джеймс Фоули,США,1992,7.7
Американское чтиво,драматический фильм,Корд Джефферсон [d],США,8 сентября   2023  и  3 ноября   2023,4.9
Американское сердце,драма,Мартин Белл,США,1992,6.7
Американское преступление,"драма ,  детектив",Томми О’Хейвер,США,,7.2
Американское безумие,драматический фильм,Фрэнк Капра,США,1932,7.4
Американский солдат,драма,Райнер Вернер Фасбиндер,ФРГ,1970,6.5
Американский самурай,боевик,Сэм Ферстенберг,США,1992,4.9
Американский психопат 2,"Чёрная комедия [1] ,  слэшер [2] [3]",Морган Дж. Фриман,США,2002,3.7
Американский психопат,криминал чёрная комедия триллер [1],Мэри Хэррон,США   Канада,2000,7.6
Американский президент,комедия драма,Роб Райнер,США,1995 [2],6.8
Американский пирог: Свадьба,кинокомедия,Джесси Дилан,США,2003,6.3
Американский пирог: Все в сборе,комедия,Хейден Шлоссберг Джон Харвитц,США,2012,6.7
Американский пирог,комедия,Пол Вайц Крис Вайц,США,1999,7.0
Американский оборотень в Лондоне,комедийный фильм ужасов,Джон Лэндис,США [4]   Великобритания [4],1981,7.5
Американский ниндзя 5,боевик,Бобби Джин Леонард,США,1993,3.0
Американский ниндзя 4: Разрушение,боевик,Седрик Сандстром,США,1991,3.9
Американский ниндзя 3: Кровавая охота,боевик,Седрик Сандстром,США,1989,3.7
Амитивилль 1992: Вопрос времени,фильм ужасов,Тони Рэндл,США,1992,4.7
Американский ниндзя 2,боевик,Сэм Фёрстенберг,США,1985,4.9
Аназапта,драматический фильм,Альберто Шьямма [d] [1],Великобритания,2001,5.2
"Ана, любовь моя",драматический фильм,Калин Питер Нецер [2],Румыния   Германия   Франция,17 февраля   2017  и  24 августа   2017 [1],6.7
Ана и волки,драма,Карлос Саура,Испания,1973,7.3
Амфетамин,драма,Скад,Гонконг,2010,5.7
Амуры,Комедия,Жак Брюйер,Германия,1994,5.1
Амур и демон,драма,Николай Федюк,Украина,1994,
Анатомия падения,драма,Жюстин Трие,Франция,2023,7.9
Анатомия любви 2,драматический фильм,Говинд Менон,Индия,2003,4.1
Ангел правого плеча,комедийная драма,Джамшед Усмонов [2],Таджикистан   Италия   Франция,24 мая   2002 [1],6.7
Ангел освобождённый,боевик,Ли Мадден,США,1970,5.1
Ангел на земле,комедийный фильм,Геза фон Радваньи,Германия / Франция,1959,5.6
Ангел мести,боевик     триллер     криминал,Джордж Галло,США,2021,3.0
Ангел мести,комедия криминал,Мартин Бёрк [en],США   Италия,2002,5.1
Ангелы греха,драма,Робер Брессон,Франция,1943,7.3
Ангелы Вселенной,драма,Фридрик Тоур Фридрикссон,Исландия     Германия     Дания     Швеция     Норвегия,2000,7.4
Ангельские глазки,драма,Роберт Хармон,США,1991,5.2
Ангелы-хранители,триллер,Джон Хэсс,Канада,1988,5.3
Ангелы Чарли: Только вперёд,боевик приключенческий фильм комедия,Макджи,США,2003,4.9
Ангелы Чарли,"комедия ,  боевик ,  криминал",Элизабет Бэнкс,США,2019,5.0
Ангелы Чарли,приключения комедия боевик,Макджи,США,2000,5.6
Ангелы у кромки поля,"семейный фильм ,  комедия",Уильям Дир,США,1994,6.2
Анетта,"киноновелла, экранизация",Георгий Шмованов,СССР,1966,
Андрокл и лев,пеплум,"Честер Эрскин ,  Николас Рэй",США   Великобритания,1952,6.0
Анна Каренина,короткометражный   драма,Морис Метр,Российская империя,1911,5.1
Анна Каренина,фильм-балет,Маргарита Пилихина,СССР,1974,6.9
Анна Каренина,драма,Кристиан Дюгей,"Италия ,  Франция ,  Германия ,  Испания",2013,7.2
Анна Карамазофф,Драма,Рустам Хамдамов,СССР   Франция,1991,
Анна и Элизабет,драма,Франк Висбар,Нацистская Германия,1933,7.1
Анна и король,мелодрама   драма   исторический,Энди Теннант,США,1999,6.7
Аннушка,драма,Борис Барнет,СССР,1959,6.2
Аннигиляция,"научная фантастика ,  фильм ужасов",Алекс Гарленд,Великобритания   США,2018,6.8
Антон Чехов,"драма ,  биография ,  исторический",Рене Фере,Франция,2015,6.3
Антон тут рядом,документальное кино,Любовь Аркус,Россия,2012,7.6
Антон Иванович сердится,комедия,Александр Ивановский,СССР,1941,7.0
Антихрист,драма ужасы,Ларс фон Триер,Франция   Германия   Италия   Швеция   Дания   Польша [4],"18 мая   2009 ,  18 ноября   2010 [2]  и  10 сентября   2009 [3]",6.5
Антихрист,фантастическая драма,Эдвард Пухальский,Российская империя,1915,
Антифауст,"мистика, драма",Георг Фризен,Россия   Германия,1993 [1],6.1
Антураж,комедия драма,Даг Эллин,США,2015,6.5
Антуан и Антуанетта,комедия,Жак Беккер,Франция,1947,7.4
Антропофаг,фильм ужасов,Джо Д'Амато,Италия,1980,5.3
Антропоид,военная драма,Шон Эллис     (англ.)  ( рус.,Чехия     Великобритания     Франция,2016,7.2
Антрацит,"социальная драма,  производственный фильм",Александр Сурин,СССР,1971,5.7
Антракт,фэнтезийный фильм  и  немое кино,Рене Клер,Франция,1924,7.3
Антошу корсет погубил,комедия,Эдвард Пухальский,Российская империя,1916,5.4
Антоша Рыбкин,военный фильм комедия,Константин Юдин,СССР,1942,5.8
Антония: Портрет женщины,документальный,"Джуди Коллинз 
 Джилл Годмилоу [en]",США,1974,6.9
Антония,"драма ,  комедия",Марлен Горрис,Нидерланды   Бельгия   Великобритания [3],1995,7.4
«Антоний и Клеопатра»,мелодрама,Чарлтон Хестон,Великобритания,1972,5.8
Антоний и Клеопатра,"короткометражный ,  драма",Чарльз Кент,США,1908,3.5
"Антон Шпелец, снайпер",комедия,Мартин Фрич,Чехословакия,1932,7.2
Антитела,"триллер ,  ужасы ,  драма",Кристиан Альварт,Германия,2005,6.9
Антисекс,драма,Ренато Кастеллани   Марко Феррери   Франко Росси,Италия     Франция,1964,6.5
Антимоз Ивериели,Исторический,Гиули Чохонелидзе,Грузия,2001,8.4
Антикиллер Д.К.,Боевик    Детектив,Эльдар Салаватов,Россия,2009,5.8
Антикиллер 2: Антитеррор,Боевик,Егор Михалков-Кончаловский,Россия,2003,5.1
Антикиллер,боевик,Егор Кончаловский,Россия,2002,5.5
Антидурь,комедия   боевик,Владимир Щегольков,Россия,2007,3.3
Антивирус,"фильм ужасов [3] [4] ,  антиутопический фильм ,  научно-фантастический фильм  и  биопанк",Брэндон Кроненберг,"Канада 
 
   Франция",2012,5.7
Антенна,"фэнтезийный фильм [2] [3] ,  научно-фантастический фильм  и  драматический фильм",Эстебан Сапир [d] [2] [3] […],Аргентина,"24 января   2007 [1] ,  2006  и  19 апреля   2007 [1]",7.3
Антек-полицмейстер,комедия,Юлиуш Гардан,Польша,1935,6.7
Анфиса,драма,Яков Протазанов,Российская империя,1912,6.0
Антебеллум,психологический триллер,Джерард Буш   Кристофер Ренц,США,2020,8.4
Аполлон-10½: Приключение космического века,"история взросления [d] ,  научно-фантастический фильм ,  драматический фильм  и  подростковый фильм",Ричард Линклейтер,США,2022  и  1 апреля   2022 [1],7.2
Аполлон 18,псевдодокументальный   научно-фантастический   фильм ужасов,Гонсало Лопес-Гальего,США   Канада,2011,5.2
Апокриф: музыка для Петра и Павла,драма фильм-биография,Адель Аль-Хадад,Россия,2004,5.3
Апокриф,драма   короткометражный,Андрей Звягинцев,США,2009,6.5
Апокалипсис: Вторая мировая война,документальный,Даниэль Касателле Изабелла Кларк,Франция,,9.0
Апрельские капитаны,драма исторический,Мария де Медейруш,Португалия   Испания   Франция   Италия,2000,7.1
Апрельские дожди,драма,Эндрю Робинсон,США,2009,5.6
Апокалипсис сегодня,"военный фильм 
 драма",Фрэнсис Форд Коппола,США,1979,
Аргентина. Интервью с мёртвым наркодилером,триллер   драма,Михаил Марескин,Россия,2008,7.3
"Аргентина, 1985","драматический фильм ,  юридическая драма ,  историческая драма  и  исторический фильм",Сантьяго Митре [d],Аргентина,2022,
Аргайл,шпионский   комедийный боевик,Мэттью Вон,Великобритания   США,2024,
Арвентур,"мультфильм ,  фэнтези экранизация",Ирина Евтеева,Россия,2015,6.6
Арбитр,детективный фильм триллер,Иван Охлобыстин,Россия,1992,6.0
Арахнофобия,фильм ужасов,Фрэнк Маршалл,США,1990,6.5
Аристократы,документальный фильм комедия,Пенн Джиллетт Пол Провенца [en],США,2005,6.4
Аристократы,экранизация драма,Дени де Ла Пательер,Франция,1955,6.4
Армия «Трясогузки» снова в бою,приключения,Александр Лейманис,СССР,1968,6.1
Армия «Трясогузки»,приключения,Александр Лейманис,СССР,1964,6.4
"Армида, драма одной невесты",драматический фильм,Бруно Маттеи [1],Италия,1970,6.2
Армагеддон,фильм-катастрофа драма фантастика,Майкл Бэй,США,1998,6.7
Арсен Люпен,боевик приключенческий фильм криминальный фильм мелодрама,Жан-Поль Саломе,Франция   Италия   Испания   Великобритания,2004,5.4
Арсен,"драма ,  исторический фильм",Михаил Чиаурели,СССР,1937,6.7
Аромат любви Фанфан,мелодрама комедия,Александр Жарден,Франция,1993,6.7
Архангел,триллер,Джон Джонс [en],Великобритания,2005,6.4
