title,genre,director,country,year,Rate IMDb
34-й скорый,Фильм-катастрофа,Андрей Малюков,СССР,1981,6.3
33,драма,Патрисия Ригген,США   Чили   Колумбия,2015,6.9
101-й километр,драма,Леонид Марягин,Россия,2001,6.8
101 Рейс,биография,Акром Шахназаров,Узбекистан,1 июнь 2022,
1984,антиутопия драма фантастика,Майкл Андерсон,Великобритания,1956,6.9
А был ли Каротин?,детективный фильм комедия,Геннадий Полока,СССР,1989,6.1
7500,Триллер боевик,Патрик Воллрат,"США ,    Австрия ,    Германия",2019,6.3
Аббат Шаолиня,боевик приключенческий фильм,Хэ Мэнхуа [en],Гонконг,1979,6.5
Абатуар. Лабиринт страха,фильм ужасов,Даррен Линн Боусман,США,2016,4.5
Аафат,криминальный триллер [d],Атма Рам [d],Индия,1977,5.3
«3096 дней»,драма,Шерри Хорман,Германия,2013,6.5
Аве Цезарь,комедия,Энтони Майкл Холл,США,1994,3.1
Аве Мария,"драма ,  мелодрама",Людмила Ефименко,Украина,1999,7.6
Автор,драма   комедия,Мануэль Мартин Куенка,Испания     Мексика,2017,6.5
Автомобиль на крыше,"исторический, комедия, драма, экранизация",Дмитрий Кесаянц,СССР,1980,3.8
Автопробег «Париж — Нью-Йорк»,фантастика,Жорж Мельес,Франция   Нью-Йорк (съёмки)   Германия (съёмки) Сибирь  (съёмки),1908,5.5
Автомобильные воры,драма,Дж. Стюарт Блэктон,США,1906 [1] [2],7.7
"Автомобиль, скрипка и собака Клякса",комедия   музыкальный фильм   сказка,Ролан Быков,СССР,1974,6.7
"Автомобили, которые съели Париж",фильм ужасов  /  комедия,Питер Уир,Австралия,1974,5.6
Автомобиль,"фильм ужасов ,  фильм-тайна  и  фильм-триллер",Эллиот Силверштейн [d],США,"13 мая   1977 [1] ,  13 августа   1977 [1] ,  15 сентября   1977 [1] ,  28 сентября   1977 [1] ,  10 октября   1977 [1] ,  10 ноября   1977 [1] ,  23 ноября   1977 [1] ,  22 декабря   1977 [1] ,  23 декабря   1977 [1] ,  19 января   1978 [1] ,  2 июня   1978 [1] ,  22 июня   1978 [1] ,  4 мая   1979 [1]  и  февраль  1980 [1]",6.1
Автомат,документальный фильм,Лиза Гурвиц,США,2021,7.8
Автобус отходит в 6.20,"драма ,  соцреализм",Ян Рыбковский,Польша,1954,5.4
Автобус,комедия,Арне Скуэн,Норвегия,1961,6.9
Автобан,боевик,Эрен Криви [en],Германия   США   Великобритания,2016,5.7
Автокатастрофа,"драма ,  триллер",Дэвид Кроненберг,Канада [3] [4] […]   Великобритания [3],"17 мая   1996 [1] ,  4 октября   1996 [1] ,  31 октября   1996 [2]  и  1996",6.4
Автобусная остановка,комедийная   драма,Джошуа Логан,США,1956,6.3
Австрийское поле,драма,Андрей Черных,СССР,1991,6.8
Австрийка,драма исторический фильм,Пьер Гранье-Дефер,Франция,1989,6.0
Авиценна,"Биографический фильм ,  исторический фильм",Камиль Ярматов,СССР,1956,6.6
Австралия,эпическая   драма,Баз Лурман,Австралия   США   Великобритания,"26 ноября   2008 [1] ,  25 декабря   2008 [2]  и  25 декабря   2008 [3]",6.6
"Авива, любовь моя",драматический фильм,Шеми Зархин [d] [1],Израиль,2006,7.2
«Аврора»,"драма , мелодрама",Оксана Байрак,Украина,2006,5.9
Авраам: Хранитель веры,драма,Джозеф Сарджент,США     Италия     Великобритания,1994,7.0
Авиапочта,мелодрама приключения,Ирвин Виллат,США,1925,6.3
Авиатор,фильм-биография драма,Мартин Скорсезе,США   Япония,2004,7.5
Августовские киты,драма,Линдсей Андерсон,США,1987,7.1
"Авель, твой брат",психологическая   драма,Януш Насфетер,Польша,1970,7.0
Августовская рапсодия,драма,Акира Куросава,Япония,1991,7.2
Авторитет,боевик триллер,Райан Комбс,США,2008,5.0
Авторитет,blaxploitation драма боевик,Эрнест Дикерсон,США,1992,7.0
Авдотья Павловна,"киноповесть ,  драма ,  социальная драма",Александр Муратов,СССР,1966,6.5
Ад по соседству,"драматический фильм [1] ,  фильм ужасов [1]  и  фильм-триллер [1]",Дэвид Мармор [d] [1],США [1],2019 [1],5.8
Айвенго,приключенческий фильм,Дуглас Кэмфилд,США   Великобритания,,6.7
Азарт любви,"музыкальный фильм ,  драматический фильм  и  боевик",Мансур Хан,Индия,2000,6.1
Айви,"Фильм нуар 
 Мелодрама",Сэм Вуд,США,1947,7.1
Айвенго,"исторический фильм ,   приключение",Ричард Торп,США,1952,6.7
Айболит-66,"музыкальный фильм [1] ,  комедийный фильм ,  приключенческий фильм ,  артхаус  и  фильм-сказка",Ролан Быков [1],СССР,1966,6.8
Аквамарин,фэнтези комедия семейный фильм,Элизабет Аллен,Австралия   США,2006,5.4
Акт убийства,документальный исторический,Джошуа Оппенхаймер Кристин Кинн  (сорежиссёр) Анонимные сорежиссёры,Великобритания   Дания   Норвегия,2012,8.2
Александра,драма,Александр Сокуров,Россия,2007,6.8
Александр. Невская битва,исторический фильм боевик,Игорь Калёнов,Россия,2008,4.8
"Александр и ужасный, кошмарный, нехороший, очень плохой день","комедийный фильм [2] [3] […] ,  детский фильм  и  экранизация",Мигель Артета,США,2014,6.2
Александр Попов,кинобиография,"Герберт Раппапорт , Виктор Эйсымонт",СССР,1949,7.0
Александр Пархоменко,Киноповесть,Леонид Луков,СССР,1942,7.0
Александр Маленький,"драма ,  военный",Владимир Фокин,СССР   ГДР,1981,6.9
Александр Невский,киноэпопея драма военный исторический,Сергей Эйзенштейн Дмитрий Васильев,СССР,1938,7.5
Александр Великий,"пеплум ,  байопик",Роберт Россен,США   Испания,1956,5.8
Александр,"биографическая   драма ,  исторический фильм ,  пеплум",Оливер Стоун,Франция   Германия   Великобритания   Италия   США   Нидерланды,2004,5.6
Алекс и Эмма,комедия  /  мелодрама,Роб Райнер,США,2003,5.5
Алеко,фильм-опера,Сергей Сиделёв,СССР,1953,6.6
Алджи-золотоискатель,комедия   мелодрама,Эдвард Уоррен,США,1912,5.7
Алголь. Трагедия силы,фантастика драма,Ханс Веркмайст,Германия,1920,6.3
Алая Роза,комедия,Марчелло Пальеро,Франция,1951,5.0
Албанец,драматический фильм [1] [2]  и  романтический фильм,Иоганнес Набер [d] [1] [2] […],Германия   Албания,2010,7.1
Алая буква,драма,Виктор Шёстрём,США,1926,7.6
Алая камелия,криминальная драма,Ёситаро Номура,Япония,1964,6.4
Алая женщина,комедия,Жан Валер,Франция   Италия,1969,5.9
Алая буква,Драма,Пён Хёк,Республика Корея,2004,6.4
Алёшкина любовь,Мелодрама,"Семён Туманов ,    Георгий Щукин",СССР,1960,7.5
Алая буква,драма  /  мелодрама,Ролан Жоффе,США,1995,5.3
Алая буква,мелодрама,Вим Вендерс,ФРГ   Испания,1973,5.8
Алпамыс идёт в школу,Детский фильм,Абдулла Карсакбаев,СССР,1976,5.5
Алмас,драма,"Ага-Рза Кулиев ,  Григорий Брагинский",СССР /   Азербайджанская ССР,1936,6.7
Алмания — Добро пожаловать в Германию,"драматический фильм [4] ,  комедийная драма  и  комедийный фильм",Ясмин Самдерели [d] [5],Германия,12 февраля   2011 [1]  и  10 марта   2011 [2] [3],7.1
Альрауне,драма фантастика,Хенрик Галеен,Германия,1928,6.2
Альрауне,"фильм ужасов ,  научно-фантастический фильм ,  драматический фильм  и  эротический фильм",Рихард Освальд [1],Германия,1930,6.2
Алоха,"драма , комедия , мелодрама",Кэмерон Кроу,США,2015,5.4
Алое и чёрное,драма,Джерри Лондон,США   Великобритания   Италия,1983,7.5
Амбициозная кунгфуистка,боевик приключенческий фильм,Лу Цзюньгу,Гонконг,1981,6.5
Американская басня,триллер,Энн Хэмилтон,США,2016,5.8
Американка,драма,Семи Челлас,Канада   США,2019,5.1
Американская жестокость,криминальный фильм  и  драматический фильм,Тимоти Вудворд мл.,США,2016,4.5
Американская дочь,трагикомедия роуд-муви,Карен Шахназаров,Россия   США,1995,6.3
Американская девочка,"подростковый фильм ,  комедийный фильм ,  драматический фильм  и  ЛГБТ-фильм [d]",Джордан Брэйди [d] [1],США,2002,5.9
Американская готика,"ужасы 
 триллер",Джон Хаф [en],"Великобритания 
   Канада",1987,5.8
Алёша-доброволец,драма,Б.С.Глаголин,Российская империя,1914,
Американка,"драма ,  трагикомедия",Дмитрий Месхиев,Россия,1997,6.9
Амитивилль 4: Зло спасается,ужасы  /  триллер,Сэндэр Стерн,США,1989,4.4
Амитивилль 3-D,ужасы  /  триллер,Ричард Флейшер,США   Мексика,1983,4.2
Амитивилль 2: Одержимость,ужасы  /  триллер,Дамиано Дамиани,США /   Мексика,1982,5.6
Аминь,Драма,Коста-Гаврас,Франция   Германия   Румыния,2002,7.2
Амистад,историческая   драма,Стивен Спилберг [2] [3] […],США,1997,7.3
Америкэн бой,детективный фильм   боевик триллер,Борис Квашнёв,Украина,1992,5.8
Американский солдат,драма,Райнер Вернер Фасбиндер,ФРГ,1970,6.5
Американское чтиво,драматический фильм,Корд Джефферсон [d],США,8 сентября   2023  и  3 ноября   2023,4.9
Американское преступление,"драма ,  детектив",Томми О’Хейвер,США,,7.2
Американский самурай,боевик,Сэм Ферстенберг,США,1992,4.9
Американское безумие,драматический фильм,Фрэнк Капра,США,1932,7.4
Американцы,драма,Джеймс Фоули,США,1992,7.7
Американское сердце,драма,Мартин Белл,США,1992,6.7
Американский пирог представляет: Книга любви,комедия,Джон Путч,"США ,    Канада",2009,4.7
Американский психопат,криминал чёрная комедия триллер [1],Мэри Хэррон,США   Канада,2000,7.6
Американский психопат 2,"Чёрная комедия [1] ,  слэшер [2] [3]",Морган Дж. Фриман,США,2002,3.7
Американский президент,комедия драма,Роб Райнер,США,1995 [2],6.8
Американский пирог представляет: Переполох в общаге,кинокомедия,Эндрю Уоллер,США     Канада,2007,5.3
Американский пирог: Свадьба,кинокомедия,Джесси Дилан,США,2003,6.3
Американский пирог: Все в сборе,комедия,Хейден Шлоссберг Джон Харвитц,США,2012,6.7
Американский пирог представляет: Голая миля,кинокомедия,Джо Нуссбаум,США     Канада,2006,5.1
Американский пирог представляет: Музыкальный лагерь,комедия,Стив Рэш,США,2005,5.0
Американский огурчик,кинокомедия,Брэндон Трост [en],США,2020,5.7
Американский оборотень в Париже,комедийный фильм ужасов,Энтони Уоллер ru en,США [4]   Великобритания   Франция [4]   Нидерланды [4]   Люксембург [4],1997,5.1
Анаконда,"приключенческий фильм ,  фильм ужасов ,  триллер ,  драма",Луис Льоса,США,1997,4.9
Аназапта,драматический фильм,Альберто Шьямма [d] [1],Великобритания,2001,5.2
Американский пирог 2,Комедия,Джеймс Роджерс,США,2001,6.4
Американский пирог,комедия,Пол Вайц Крис Вайц,США,1999,7.0
Ангел мести,боевик     триллер     криминал,Джордж Галло,США,2021,3.0
Ангел мести,комедия криминал,Мартин Бёрк [en],США   Италия,2002,5.1
Ангел в красном,драма,Наннэлли Джонсон,США   Италия,1960,5.8
Ангел мести,вестерн,Крэйг Бэксли,США,1995,6.0
Ангел за моим столом,драма,Джейн Кэмпион,Австралия     Новая Зеландия,1991,7.4
Ангел для Сатаны,фильм ужасов,Камилло Мастрочинкве,Италия,1966,6.5
Ангел в тюбетейке,комедия,Шакен Айманов,СССР,1968,6.9
Ангел в отпуске,комедия,Борживой Земан,Чехословакия,1953,6.1
Андрей и злой чародей,"сказка ,  комедия",Геннадий Харлан,СССР,1981,4.9
Андре,"приключения ,  драма ,   семейный фильм",Джордж Т. Миллер,США,1994,5.7
Андра,приключения,Мэтт Симбер,Испания   США,1983,4.6
Андин. Хроники армянских путешествий,"документальный, исторический",Рубен Гини,Армения     Китай     Индия     Кыргызстан     Великобритания       Мексика     Россия     Франция       Испания,2014,8.9
"Анджело, моя любовь",драма,Роберт Дюваль,США,1983,6.5
Анна и король,мелодрама   драма   исторический,Энди Теннант,США,1999,6.7
Андрей Рублёв,историческая   драма,Андрей Тарковский,СССР,1966,8.1
Анна и Командор,мелодрама,Евгений Хринюк,СССР,1974,6.6
Антуан и Антуанетта,комедия,Жак Беккер,Франция,1947,7.4
Антропофаг,фильм ужасов,Джо Д'Амато,Италия,1980,5.3
Антропоид,военная драма,Шон Эллис     (англ.)  ( рус.,Чехия     Великобритания     Франция,2016,7.2
Антрацит,"социальная драма,  производственный фильм",Александр Сурин,СССР,1971,5.7
Антураж,комедия драма,Даг Эллин,США,2015,6.5
Антошу корсет погубил,комедия,Эдвард Пухальский,Российская империя,1916,5.4
Антракт,фэнтезийный фильм  и  немое кино,Рене Клер,Франция,1924,7.3
Антоша Рыбкин,военный фильм комедия,Константин Юдин,СССР,1942,5.8
Антония: Портрет женщины,документальный,"Джуди Коллинз 
 Джилл Годмилоу [en]",США,1974,6.9
Антония,"драма ,  комедия",Марлен Горрис,Нидерланды   Бельгия   Великобритания [3],1995,7.4
«Антоний и Клеопатра»,мелодрама,Чарлтон Хестон,Великобритания,1972,5.8
Антон Чехов,"драма ,  биография ,  исторический",Рене Фере,Франция,2015,6.3
Антоний и Клеопатра,"короткометражный ,  драма",Чарльз Кент,США,1908,3.5
"Антон Шпелец, снайпер",комедия,Мартин Фрич,Чехословакия,1932,7.2
Антон тут рядом,документальное кино,Любовь Аркус,Россия,2012,7.6
Антон Иванович сердится,комедия,Александр Ивановский,СССР,1941,7.0
Антифауст,"мистика, драма",Георг Фризен,Россия   Германия,1993 [1],6.1
Антихрист,драма ужасы,Ларс фон Триер,Франция   Германия   Италия   Швеция   Дания   Польша [4],"18 мая   2009 ,  18 ноября   2010 [2]  и  10 сентября   2009 [3]",6.5
Антимоз Ивериели,Исторический,Гиули Чохонелидзе,Грузия,2001,8.4
Антикиллер Д.К.,Боевик    Детектив,Эльдар Салаватов,Россия,2009,5.8
Антитела,"триллер ,  ужасы ,  драма",Кристиан Альварт,Германия,2005,6.9
Антикиллер,боевик,Егор Кончаловский,Россия,2002,5.5
Антисекс,драма,Ренато Кастеллани   Марко Феррери   Франко Росси,Италия     Франция,1964,6.5
Антикиллер 2: Антитеррор,Боевик,Егор Михалков-Кончаловский,Россия,2003,5.1
Антенна,"фэнтезийный фильм [2] [3] ,  научно-фантастический фильм  и  драматический фильм",Эстебан Сапир [d] [2] [3] […],Аргентина,"24 января   2007 [1] ,  2006  и  19 апреля   2007 [1]",7.3
Антивирус,"фильм ужасов [3] [4] ,  антиутопический фильм ,  научно-фантастический фильм  и  биопанк",Брэндон Кроненберг,"Канада 
 
   Франция",2012,5.7
Антебеллум,психологический триллер,Джерард Буш   Кристофер Ренц,США,2020,8.4
Антидурь,комедия   боевик,Владимир Щегольков,Россия,2007,3.3
Антек-полицмейстер,комедия,Юлиуш Гардан,Польша,1935,6.7
Ансамбль,комедия драма мюзикл,Ави Нешер,Израиль,1978,7.3
Антарктическая история,приключенческий фильм [1]  и  драматический фильм,Корэёси Курахара [1] [2],Япония,1983,7.6
Анонимные романтики,романтическая комедия,Жан-Пьер Амери,"Франция ,    Бельгия",2010,6.9
Аноним,фильм-биография,Роланд Эммерих,Германия     Великобритания     США,2011,6.8
Анон,"антиутопический фильм ,  научно-фантастический фильм [1] ,  кинофантастика ,  фильм-триллер [1]  и  киберпанк",Эндрю Никкол,Великобритания,2018,6.1
Антарктическая повесть,"драма ,  приключения",Сергей Тарасов,СССР,1979,7.0
Аннычка,"драма ,  военный",Борис Ивченко,СССР,1968,7.6
Аннушка,драма,Борис Барнет,СССР,1959,6.2
Аннетт,мюзикл,Леос Каракс,Франция   Германия   Бельгия,2021,6.3
Анна Эйдеш,"драма, экранизация",Золтан Фабри,Венгрия,1958,7.4
Анна Тристер,Мелодрама,Леа Пул,Канада,1986,7.2
Анна свободна,Мелодрама,Венди Джо Карлтон,США,2009,6.4
Анна: от 6 до 18,документальный фильм фильм-биография исторический фильм,Никита Михалков,Россия   Франция,1993,7.4
Аннигиляция,"научная фантастика ,  фильм ужасов",Алекс Гарленд,Великобритания   США,2018,6.8
Анна Политковская: семь лет на линии фронта,Документальный фильм,Мария Новикова,Нидерланды,2008,8.0
Анна Павлова,драма биография исторический музыкальный,Эмиль Лотяну,СССР   Великобритания   ГДР   Куба   Франция,1983—1986,6.9
Анна Николь,биография,Киони Уоксмен,США,2007,4.1
Анна на шее,драма,Исидор Анненский,СССР,1954,6.9
Анна Лукаста,Фильм нуар Мелодрама,Ирвинг Рэппер,США,1949,6.2
«Анна Каренина. История Вронского»,драма,Карен Шахназаров,Россия,2017,6.3
Анна Каренина,историческая   романтическая драма,Джо Райт,Великобритания   США,2012,6.6
Анютина дорога,"детский,  драма ,  приключенческий",Лев Голуб,СССР,1967,6.3
Аревик,драма,Аркадий Айрапетян Арнольд Агабабов,СССР,1978,6.2
Арабские ночи,"приключенческий фильм [2] ,  боевик  и  Фильм о цирке [d]",Джон Роулинз,США,1942  и  25 декабря   1942 [1],6.1
Арденны,драматический фильм [1],Робин Пронт [1] [2],Бельгия,2015,6.7
Анна Кристи,драма,Кларенс Браун [1] [2],США,1930,6.6
Арабские приключения,фэнтезийный фильм приключенческий фильм,Стив Бэррон,США   Великобритания   Германия,,7.4
Ариран,документальный фильм  и  Автобиографический фильм [d],Ким Ки Дук,Республика Корея,2011  и  26 января   2012 [1],6.8
Ариран,немое кино,На Унгю,Корея,1926,7.8
Аринка,комедия,Юрий Музыкант Надежда Кошеверова,СССР,1939,4.9
"Армида, драма одной невесты",драматический фильм,Бруно Маттеи [1],Италия,1970,6.2
Армия «Трясогузки»,приключения,Александр Лейманис,СССР,1964,6.4
Арт-колледж 1994,,Liu Jian [d],Китай,2023,6.2
Арсенал,исторический фильм,Александр Довженко,СССР,"1929 ,  25 февраля   1929 [1] ,  26 марта   1929 [1]  и  9 ноября   1929 [1]",7.1
Астрал 4: Последний ключ,фильм ужасов,Гарри Робител,Великобритания,2018,5.7
Астрал: Глава 2,фильм ужасов,Джеймс Ван,США,2013,6.5
Астрал 5: Красная дверь,фильм ужасов,Патрик Уилсон,США,2023,8.6
Атаман Кодр,драма киноповесть,Михаил Калик Борис Рыцарев Ольга Улицкая,СССР,1958,6.1
Аристократы,экранизация драма,Дени де Ла Пательер,Франция,1955,6.4
Атакующая группа «Зет»,боевик,Тим Бёрсталл [en],Австралия,1982,5.4
Атака титанов,фантастика драма,Синдзи Хигути,Япония,2015,5.0
Атака пауков,ужасы чёрная комедия,Эллори Элкайем,США   Австралия   Германия,2002  и  15 августа   2002 [1],5.5
Атака на Пёрл-Харбор,"военный ,  драма ,  биография",Идзуру Нарусима,Япония,2011,6.7
Аталанта,мелодрама,Жан Виго,Франция,1934,7.7
Атака мертвецов: Осовец,военный,Василий Чигинский,Россия   Белоруссия,2018,7.8
Атаки 26/11,триллер докудрама криминальный исторический,Рам Гопал Варма [1],Индия,2013,6.9
Атака лёгкой кавалерии,"исторический фильм ,  военный фильм [1]  и  драматический фильм",Тони Ричардсон,Великобритания,1968,6.6
Атака лёгкой кавалерии,мелодрама,Майкл Кёртис,США,1936,7.0
Атака лёгкой кавалерии,драматический фильм,Джеймс Сирл-Доули,США,1912,6.2
Атака куриных зомби,"комедия ,  хоррор ,  мюзикл",Ллойд Кауфман,США,2006,6.0
Атака крабов-монстров,ужасы,Роджер Корман,США,1956,4.9
Атака Коммандос,боевик [1]  и  военный фильм,Бруно Маттеи,Италия,1987,5.2
Атака,кинодрама,Игорь Николаев,СССР,1986,6.2
Ася,мелодрама,Иосиф Хейфиц,СССР   ГДР,1977,6.7
Асы в небе,драма,Джек Голд,Великобритания     Франция,1976,6.5
Атака Годзиллы,приключения детектив фантастика семейный,Исиро Хонда,Япония,1969,3.9
Асфальтовые джунгли,нуарный   фильм-ограбление,Джон Хьюстон,США,1950,7.8
Асфальт,драматический фильм  и  немое кино,Джоэ Май,Германия,1929,7.4
Астролог,романтика драма фантастика,Крейг Денни,США,1976,4.8
Астрал: Новое измерение,ужасы,Крис Мул,Великобритания,2018,4.7
Астрал 3,фильм ужасов,Ли Уоннелл,США,2015,6.1
Астрал,фильм ужасов мистика [1],Джеймс Ван,США   Канада,13 сентября   2010 [3],6.8
Астерикс на Олимпийских играх,комедия,Тома Лангманн Фредерик Форестье,Франция   Германия   Бельгия   Италия   Испания,2008,5.2
Астрал,фильм ужасов,"Джеймс Ван  (1-2),    Ли Уоннелл  (3),    Адам Робител [en]  (4),    Патрик Уилсон  (5)",США,2011 — н. в.,
Астерикс и Обеликс: Миссия «Клеопатра»,"комедия ,  пеплум",Ален Шаба,Франция   Германия,2002,6.7
Астерикс и Обеликс в Британии,комедия приключения,Лоран Тирар,Франция   Италия   Испания   Венгрия [1],2012,5.3
Астенический синдром,драма,Кира Муратова,СССР,1989,6.6
Ассоциация злоумышленников,приключенческий фильм комедия триллер,Клод Зиди,Франция,1987,6.4
Ассоль,мелодрама,Борис Степанцев,СССР,1982,6.3
Асоциальная сеть,триллер,Тиллер Расселл,США,2020,6.0
Атлантида,мелодрама,Александр Павловский,Россия   Украина,2002,6.1
Аттила,пеплум,Пьетро Франчиши [en],Италия   Франция,1954,5.5
Ассистентка,психологическая драма,Дени Деркур,Франция,2006,7.0
Аттенберг,драма,Афина Рахель Цангари,Греция,2010,6.2
Аутло,драматический фильм,Ксения Ратушная [d],Россия,29 октября   2020  и  2019,3.8
"Афёры, музыка, любовь…",комедия,Георгий Юнгвальд-Хилькевич,Россия,1997,3.0
Аферисты: Дик и Джейн развлекаются,комедия детективный фильм,Дин Паризо,США,2005,6.2
Астерикс и Обеликс против Цезаря,приключения семейный фильм комедия,Клод Зиди,Франция   Италия   Германия,1999,6.0
Аферисты поневоле,комедия - боевик,Джеймс Окли,США   Великобритания,2018,3.8
Бабушка для всех,Музыкальный фильм,Нана Двалишвили,СССР,1987,4.6
Аферисты,комедия,Майкл Мартин,США,1998,4.1
Багровый цвет снегопада,драма,Владимир Мотыль,Россия,2009,5.5
Байкеры,боевик комедия,Санджай Гадхви,Индия,2004,6.6
Байкеры,мелодрама боевик,Реджи Рок Байтвуд,США,2003,4.6
Асса,драма [1],Сергей Соловьёв,СССР,1987,7.7
Бал,музыкальный фильм исторический фильм,Этторе Скола,Франция     Италия     Алжир,1983,7.7
Байкеры,боевик,Мишель Жетте,Канада,2000,7.0
Балерина,драма,Александр Згуриди,Россия,1993,5.7
Балбесы,"приключенческий фильм 
 комедия",Ричард Доннер,США,1985,7.7
Балалайка,драма,Али Озгентюрк,Турция,2000,6.3
Балда,комедия,Уинчел Смит,США,1920,6.1
Балаган,трагикомедия,Андрей Бенкендорф,СССР,1990,6.5
Баламут,комедия,Владимир Роговой,СССР,1978,6.8
Бала,документальный фильм,Сатьяджит Рай,Индия,1976,7.5
Балалайка,"мюзикл ,  мелодрама",Райнхольд Шюнцель,США,1939,6.2
Бал-маскарад,драматический фильм  и  немое кино,Альфред Деэши,Австро-Венгрия,1917,8.6
Бал официантов,комедия,Роско Арбакл,США,1916,6.8
Бал пожарных,комедия драма,Милош Форман,Чехословакия   Италия,1967,7.4
Бал вампиров,комедийный   фильм ужасов,Роман Полански,Великобритания     США,1967,7.0
Бал монстров,драма  /  мелодрама,Марк Форстер,США,2001,7.1
Бакстер,романтическая комедия сатира,Майкл Шоуолтер,США,2005,6.5
Бакуки,исторический фильм,Виктор Турин,СССР,1938,5.5
Бал в доме Андзё,драма,Кодзабуро Ёсимура,Япония,1947,7.4
Баки Ларсон: Рождённый быть звездой,комедия,Том Брейди,США,2011,3.3
Бакенбарды,комедия,Юрий Мамин,СССР,1990,7.4
Байки у костра,фильм ужасов,Мартин Кунерт Девид Семел Мэтт Купер [1],США,1997,5.8
Кровавый бордель,Фильм ужасов Комедия,Гилберт Адлер,США,1996,5.4
Бак Роджерс в XXV веке,"боевик [2] ,  научно-фантастический фильм [2]  и  приключенческий фильм [2]",Дэниел Хэллер [2],США,"30 марта   1979 [1] ,  12 июля   1979 [1] ,  25 июля   1979 [1] ,  26 июля   1979 [1] ,  26 июля   1979 [1] ,  30 июля   1979 [1] ,  31 августа   1979 [1] ,  13 сентября   1979 [1] ,  12 октября   1979 [1] ,  17 декабря   1979 [1]  и  21 января   1980 [1]",6.5
Байрон,драма,Джулиан Фарино,Великобритания,,7.0
Байки из склепа,комедия ужасов,Фредди Фрэнсис,США       Великобритания,1972,6.9
Байки из склепа: Демон ночи,Фильм ужасов комедия,Эрнест Дикерсон Гилберт Адлер,США,1995,6.7
Байкерши в городе зомби,чёрная комедия,Дэн Хоскинс,США,1989,4.1
Байкер-убийца,боевик,Том Каллоуэй,США,1999,3.4
Аттестат зрелости,драма,Татьяна Лукашевич,СССР,1954,6.1
Байкеры 3,боевик  /  триллер,Виджай Кришна Ачария     (англ.)  ( рус.,Индия,2013,5.4
Байка,драма,"Георгий Бурков 
 
 Герман Лавров",СССР,1987,6.6
Байкеры 2: Настоящие чувства,боевик триллер мелодрама,Санджай Гадхви,Индия,2006,6.5
Байджу Бавра,музыкальный фильм - драма,Виджай Бхатт,Индия,1952,7.4
